id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
1130,Archerstown,Baile an Airsirigh,Westmeath,Republic of Ireland,N91,N589674,258917,267439,53.65358,-7.10969,Mullingar,Westmeath County Council,Leinster,Midland,Townland
1131,Archerstown,Baile an Airsirigh,Westmeath,Republic of Ireland,N91,N592677,259272,267722,53.65608,-7.10427,Mullingar,Westmeath County Council,Leinster,Midland,Town/Village
1132,Archerstreet Lot,Lota Shráid an Áirséaraigh,Kilkenny,Republic of Ireland,R95,S510549,251059,154908,52.64338,-7.24644,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
1133,Arch Hall,,Meath,Republic of Ireland,C15,N835754,283585,275421,53.72193,-6.73455,Navan,Meath County Council,Leinster,Mid-East,Townland
1134,Arclintagh,Ard Cluainte,Monaghan,Republic of Ireland,H18,H752269,275201,326902,54.18562,-6.84885,Monaghan,Monaghan County Council,Ulster,Border,Townland
1135,Ard,An Aird,Galway,Republic of Ireland,H91,M173429,117321,242997,53.43081,-9.24463,Galway,Galway County Council,Connacht,West,Townland
1136,Ard,An tArd,Offaly,Republic of Ireland,R35,N440182,244036,218263,53.21323,-7.34160,Tullamore,Offaly County Council,Leinster,Midland,Townland
1137,Ardabaun,,Kerry,Republic of Ireland,V93,Q784017,78460,101702,52.15427,-9.77656,Killarney,Kerry County Council,Munster,South-West,Townland
1138,Ardabrone,,Sligo,Republic of Ireland,F91,G544343,154495,334321,54.25575,-8.69895,Sligo,Sligo County Council,Connacht,Border,Townland
1139,Ardacarha,,Mayo,Republic of Ireland,F12,M291968,129126,296815,53.91597,-9.07934,Claremorris,Mayo County Council,Connacht,West,Townland
1140,Ardachrin,Ard an Chrainn,Donegal,Republic of Ireland,F92,B981101,198107,410178,54.93919,-8.03029,Letterkenny,Donegal County Council,Ulster,Border,Townland
1141,Ardacluckeen,,Kerry,Republic of Ireland,V93,V786931,78644,93196,52.07790,-9.77084,Killarney,Kerry County Council,Munster,South-West,Townland
1142,Ardacluggin,Ard an Chloiginn,Cork,Republic of Ireland,P75,V620493,62007,49327,51.67999,-9.99582,Bantry,Cork County Council,Munster,South-West,Townland
1143,Ardacong,Arda Conga,Galway,Republic of Ireland,H54,M434547,143412,254780,53.54011,-8.85428,Tuam,Galway County Council,Connacht,West,Townland
1144,Ardacrow,Ard an Chró,Cork,Republic of Ireland,P72,W505459,150518,45927,51.66420,-8.71585,Bandon,Cork County Council,Munster,South-West,Townland
1145,Ardadam,Ard Adaim,Cork,Republic of Ireland,P51,R598096,159835,109667,52.23775,-8.58866,Mallow,Cork County Council,Munster,South-West,Townland
1146,Ardagannive,Ard an Ghainimh,Cork,Republic of Ireland,P75,V751467,75148,46766,51.66006,-9.80502,Bantry,Cork County Council,Munster,South-West,Townland
